Designator,Mid X,Mid Y,Layer,Rotation
R182,157.00,-60.60,T,270.00
R183,63.00,-67.40,T,180.00
R183,195.00,-67.40,T,180.00
S1,252.00,-68.50,T,90.00
S1,120.00,-68.50,T,90.00
S2,185.00,-88.00,T,90.00
S2,53.00,-88.00,T,90.00
S3,63.00,-88.00,T,90.00
S3,195.00,-88.00,T,90.00
U1,206.40,-56.74,T,0.00
U1,74.40,-56.74,T,0.00
U2,92.00,-60.00,T,270.00
U2,224.00,-60.00,T,270.00
U3,27.80,-56.96,T,270.00
U3,159.80,-56.96,T,270.00
U4,193.30,-71.45,T,90.00
U4,61.30,-71.45,T,90.00
U5,107.80,-69.80,T,90.00
U5,239.80,-69.80,T,90.00
U6,101.85,-60.50,T,270.00
U6,233.85,-60.50,T,270.00
Y1,53.85,-76.65,T,180.00
Y1,185.85,-76.65,T,180.00
